节日	jiérì	(n) holiday, festival
矛盾	máodùn	(n/adj) contradiction, conflict; contradictory, conflicting
郁闷	yùmèn	(adj) gloomy, depressed
省吃俭用	shěng chī jiǎn yòng	to be frugal (with food and other living expenses)
笔	bǐ	(m) measure word for sums of money
孙子	sūnzi	(n) grandson (son’s son)
孙女	sūnnü	(n) granddaughter (son’s daughter)
未婚妻	wèihūnqī	(n) fiancée
算	suàn	(v) to count as, to be considered as
合	hé	(v) to combine, to join
劝	quàn	(v) to persuade, to advise, to urge
辛苦	xīnkǔ	(adj/v) hard, strenuous; to work hard
享受	xiǎngshòu	(v/n) to enjoy; enjoyment, pleasure
老太太	lǎotàitai	(n) elderly lady
利息	lìxī	(n) interest (on invested funds)
增加	zēngjiā	(v) to increase, to add
老年	lǎonián	(n) old age
说服	shuōfú	(v) to persuade, to convince
签	qiān	(v) to sign, to autograph
合同	hétong	(n) agreement, contract
想法	xiǎngfǎ	(n) idea, opinion
突然	tūrán	(adv/adj) suddenly, unexpectedly; sudden, unexpected
义工	yìgōng	(n) volunteer work (lit. righteous work), volunteer
麻将	májiàng	(n) mahjong
赚钱	zhuànqián	(vo) to make a profit
股市	gǔshì	(n) stock market
风险	fēngxiǎn	(n) risk, danger, hazard
抵押	dǐyā	(v) to mortgage
股票	gǔpiào	(n) stock, share (lit. stock certificate)
跌	diē	(v) to fall
赔	péi	(v) to lose (money, etc.), to suffer a loss in a deal
文明	wénmíng	(n/adj) civilization; civilized
之	zhī	(p) literary equivalent of 的
文字	wénzì	(n) characters, written form of a language
记载	jìzǎi	(v/n) to put down in writing, to record; record, account
参观	cānguān	(v) to visit, to look around
其中	qízhōng	among which/whom, in which/whom, of which/whom [See Grammar 2.]
部分	bùfen	(n) portion, part
朝代	cháodài	(n) dynasty
伟大	wěidà	(adj) great, outstanding, magnificent
思想	sīxiǎng	(n) thinking, ideology, thoughts
展厅	zhǎntīng	(n) exhibition hall, gallery
皇帝	huángdì	(n) emperor
统一	tǒngyī	(v/adj) to unify, to unite; unified, centralized
贡献	gòngxiàn	(v/n) to contribute, to devote; contribution
修	xiū	(v) to build, to repair
杀	shā	(v) to kill
烧	shāo	(v) to burn, to set fire to, to cook
宫殿	gōngdiàn	(n) palace
坟墓	fénmù	(n) grave, tomb
兵马俑	bīngmǎyǒng	(n) terracotta warriors and horses
发展	fāzhǎn	(v/n) to develop; development
丝绸	sīchóu	(n) silk, silk fabric
关系	guānxì	(n) relation, relationship, connection
进行	jìnxíng	(v) to carry on, to carry out, to conduct
贸易	màoyì	(n/v) trade; to trade
诗	shī	(n) poetry, poem
诗人	shīrén	(n) poet
发达	fādá	(adj) developed, flourishing
技术	jìshù	(n) technology, technique
曾经	céngjīng	(adv) once; at some time in the past
先进	xiānjìn	(adj) advanced
发明	fāmíng	(n/v) invention; to invent
造纸	zào zhǐ	(vo) to make paper
火药	huǒyào	(n) gunpowder (lit. fire chemical)
指南针	zhǐnánzhēn	(n) compass
活字印刷	huózì yìnshuā	(n) moveable-type printing; letterpress printing
领导	lǐngdǎo	(v/n) to lead; leadership, leader (lit. to lead and guide)
革命	gémìng	(n) revolution
建立	jiànlì	(v) to build, to establish
孔子	Kǒngzǐ	(pn) Confucius
秦朝	Qíncháo	(pn) Qin dynasty
秦始皇	Qínshǐhuáng	(pn) First Emperor of the Qin dynasty
汉朝	Hàncháo	(pn) Han dynasty
西方	Xīfāng	(pn) the West
唐朝	Tángcháo	(pn) Tang dynasty
李白	Lǐ Bái	(pn) Li Bai
宋朝	Sòngcháo	(pn) Song dynasty
清朝	Qīngcháo	(pn) Qing dynasty
孙中山	Sūn Zhōngshān	(pn) Sun Yat-sen
中华民国	Zhōnghuá Mínguó	(pn) Republic of China
世纪	shìjì	(n) century
跨国	kuàguó	(adj) transnational, multinational
进入	jìnrù	(v) to enter, to get into
吸引	xīyǐn	(v) to attract, to draw, to fascinate
人才	réncái	(n) person of ability and talent
国外	guówài	(n) abroad
海外	hǎiwài	(n) overseas
归来	guīlái	(v) to return, to come back
叫做	jiào zuò	(vc) to be called, to be known as
海龟	hǎiguī	(n) sea turtle
满意	mǎnyì	(v) to be satisfied, to be pleased
销售	xiāoshòu	(v) to sell, to market
经理	jīnglǐ	(n) manager
套装	tàozhuāng	(n) suit, a set of matching outer garments
上衣	shàngyī	(n) upper outer garment, jacket
湿	shī	(adj) wet
干吗	gànmá	(qpr) why, why on earth, whatever for
总	zǒng	(adj) general, chief
严肃	yánsù	(adj) stern, serious
吓人	xiàrén	(adj) scary, frightening
解释	jiěshì	(v) to explain
阴	yīn	(adj) overcast, hidden from the sun
转	zhuǎn	(v) to turn, to shift, to change
云	yún	(n) cloud
寄	jì	(v) to mail, to send
录用	lùyòng	(v) to take someone on staff, to employ
通知	tōngzhī	(n/v) notice; to notify, to inform
既然	jìrán	(conj) since, as, now that [See Grammar 2.]
接着	jiēzhe	(v) to follow, to continue
回答	huídá	(v) to reply, to answer
短期	duǎnqī	(n) short term
好在	hǎozài	(adv) fortunately, luckily
产品	chǎnpǐn	(n) product, merchandise
晴	qíng	(adj) sunny
缺点	quēdiǎn	(n) shortcoming, defect, weakness
零食	língshí	(n) snack
善于	shànyú	(v) to be good at, to be adept in
往往	wǎngwǎng	(adv) more often than not
加班	jiā bān	(vo) to work overtime, to work extra shifts
优点	yōudiǎn	(n) merit, strong point, advantage
可怕	kěpà	(adj) awful, terrible, fearful
握手	wò shǒu	(vo) to shake hands, to clasp hands
能力	nénglì	(n) ability, capacity, competence
周	zhōu	(n) week
聚会	jùhuì	(v/n) to get together, to congregate; party, get-together, social gathering
庆祝	qìngzhù	(v) to celebrate
接受	jiēshòu	(v) to accept, to take on, to undertake
接风	jiēfēng	(v) to host a welcome meal for a visitor from afar
饯行	jiànxíng	(v) to host a farewell meal
客人	kèren	(n) guest, visitor
火锅	huǒguō	(n) hotpot
聚	jù	(v) to gather, to get together, to congregate
出差	chū chāi	(vo) to be away on business or on a business trip
推销	tuīxiāo	(v) to market, to promote the sale (of goods/merchandise)
电池	diànchí	(n) battery
火	huǒ	(adj/n) thriving, flourishing; fire, flame
校友	xiàoyǒu	(n) schoolmate, alumnus, alumna
关照	guānzhào	(v) to take care of, to look after
同事	tóngshì	(n) colleague, coworker
者	zhě	(suffix) meaning “person”
电视剧	diànshìjù	(n) TV drama, TV series
搞	gǎo	(v) to do, to carry on, to be engaged in
面熟	miànshú	(adj) familiar-looking
流	liú	(n) class, level, rank, category
演员	yǎnyuán	(n) actor, performer
而已	éryǐ	(p) and no more
稳定	wěndìng	(adj/v) stable, steady; to stabilize, to be steady
年轻	niánqīng	(adj) young
永远	yǒngyuǎn	(adv) always, forever
放心	fàng xīn	(vo) to feel relieved, to be at ease
联系	liánxì	(v/n) to contact, to get in touch; connection, relation (lit. to combine and tie)
友谊	yǒuyì	(n) friendship
欧洲	Ōuzhōu	(pn) Europe
