天气	tiānqì	weather
人民	Rénmín	the people
币	bì	currency
差不多	chàbuduō	almost, nearly; similar
费	fèi	fee, expenses
押金	yājīn	security deposit
当	dāng	to serve as, to be
还	huán	to return (something)
另外	lìngwài	furthermore, in addition
准	zhǔn	to allow, to be allowed
养	yǎng	to raise
宠物	chǒngwù	pet
兴趣	xìngqù	interest
当然	dāngrán	of course
胖	pàng	fat
怕	pà	to fear, to be afraid of
简单	jiǎndān	simple
跑步	pǎo bù	to jog
跑	pǎo	to run
难受	nánshòu	hard to bear, uncomfortable
网球	wǎngqiú	tennis
拍	pāi	racket
篮球	lánqiú	basketball
游泳	yóu yǒng	to swim
危险	wēixiǎn	dangerous
淹死	yān sǐ	to drown
愿意	yuànyì	to be willing
上大学	shàng dàxué	to attend college/university
为了	wéile	for the sake of
提高	tígāo	to improve, to raise, to heighten
水平	shuǐpíng	level, standard
足球	zúqiú	soccer, football
比赛	bǐsài	game, match, competition; to compete
国际	guójì	international
美式	Měishì	American-style
应该	yīnggāi	should, ought to
脚	jiǎo	foot
踢	tī	to kick
手	shǒu	hand
抱	bào	to hold or carry in the arms
压	yā	to press, to hold down, to weigh down
被	bèi	by
担心	dān xīn	to worry
棒	bàng	fantastic, super [colloq.]
运动服	yùndòngfú	sportswear, athletic clothing
半天	bàntiān	half a day, a long time
马上	mǎshàng	immediately, right away
放假	fàng jià	go on vacation, have time off
放	fàng	to let go, to set free
假	jià	vacation, holiday
公司	gōngsī	company
实习	shíxí	to intern
打工	dǎ gōng	to work at a temporary job (often part time)
计划	jìhuà	plan; to plan
暑假	shǔjià	summer vacation
打算	dǎsuàn	to plan; plan
父母	fùmǔ	parents, father and mother
首都	shǒudū	capital city
政治	zhèngzhì	politics
文化	wénhuà	culture
名胜古迹	míngshèng gǔjì	famous scenic spots and historic sites
有名	yǒumíng	famous, well-known
导游	dǎoyóu	tour guide
护照	hùzhào	passport
签证	qiānzhèng	visa
旅行社	lǚxíngshè	travel agency
订	dìng	to reserve, to book (a ticket, a hotel room, etc.)
长城	Chángchéng	the Great Wall
香港	Xiānggǎng	Hong Kong
台北	Táiběi	Taipei
初	chū	beginning
单程	dānchéng	one-way trip
往返	wǎngfǎn	make a round trip, go there and back
航空	hángkōng	aviation
查	chá	to check, to look into
航班	hángbān	scheduled flight
千	qiān	thousand
直飞	zhí fēi	fly directly
打折	dǎ zhē	to sell at a discount, to give a discount
转机	zhuǎn jī	change planes
靠	kào	to lean on, to lean against, to be next to
窗户	chuānghu	window
走道	zǒudào	aisle
份	fèn	(measure word for meal orders, jobs)
素餐	sùcān	vegetarian meal
旅馆	lǚguǎn	hotel
租	zū	to rent
中国国际航空公司	Zhōngguó Guójì Hángkōng Gōngsī	Air China
西北航空公司	Xīběi Hángkōng Gōngsī	Northwest Airlines
行李	xíngli	luggage
托运	tuōyùn	to check (luggage)
包	bāo	bag, sack, bundle, package
箱子	xiāngzi	suitcase, box
超重	chāozhòng	to be overweight (of luggage, freight, etc.)
超	chāo	to exceed, to surpass
登机牌	dēngjīpái	boarding pass
牌	pái	plate, tablet, card
登机口	dēngjīkǒu	boarding gate
口	kǒu	opening, entrance, mouth
哭	kū	to cry, to weep
地	de	(particle to link adverbial and verb)
照顾	zhàogu	to look after, to care for, to attend to
起飞	qǐfēi	(of airplanes) to take off
小心	xiǎoxīn	to be careful
一路平安	yī lù píng'ān	have a good trip, bon voyage
叔叔	shūshu	uncle
阿姨	āyí	aunt
欢迎	huānyíng	to welcome
瘦	shòu	thin, skinny, lean
爷爷	yéye	paternal grandfather
奶奶	nǎinai	paternal grandmother
烤鸭	kǎoyā	roast dusk
首都机场	Shǒudū Jīchǎng	the Capital Airport (in Beijing)
